Status,PUID,Name,Version,Score
ADEQUATE,fmt/99,Hypertext Markup Language,4.0,7
INCOMPLETE,x-fmt/1,Microsoft Word for  Macintosh Document,3.0,0
INCOMPLETE,x-fmt/10,dBASE Database,IV,0
INCOMPLETE,x-fmt/100,AutoCAD Script,[?],0
INCOMPLETE,x-fmt/101,Harvard Graphics Show,3.0,0
INCOMPLETE,x-fmt/102,3D Studio Shapes,[?],0
STUB,x-fmt/103,AutoCAD Compiled Shape/Font File,[?],5
STUB,x-fmt/104,AutoCAD Slide Library,[?],5
STUB,x-fmt/105,AutoCAD Slide,[?],5
INCOMPLETE,x-fmt/106,Microsoft Symbolic Link File,[?],0
STUB,x-fmt/107,AutoCAD Named Plot Style Table,[?],5
INCOMPLETE,x-fmt/108,Lithograph Export File,[?],0
INCOMPLETE,x-fmt/109,Scalable Vector Graphics Compressed,[?],0
INCOMPLETE,x-fmt/11,Revisable-Form-Text Document Content Architecture,[?],0
INCOMPLETE,x-fmt/110,Fixed Width Values Text File,[?],0
INCOMPLETE,x-fmt/111,Plain Text File,[?],0
INCOMPLETE,x-fmt/112,AutoCAD External Database Configuration File,[?],0
INCOMPLETE,x-fmt/113,Microsoft Visio Drawing,5.0,0
INCOMPLETE,x-fmt/114,Lotus 1-2-3 Worksheet,2.0,0
INCOMPLETE,x-fmt/115,Lotus 1-2-3 Worksheet,3.0,0
INCOMPLETE,x-fmt/116,Lotus 1-2-3 Worksheet,4.0,0
INCOMPLETE,x-fmt/117,Lotus 1-2-3 Worksheet,1.0,0
INCOMPLETE,x-fmt/118,Microsoft Works Spreadsheet,2.0,0
INCOMPLETE,x-fmt/119,Windows Metafile,[?],0
INCOMPLETE,x-fmt/12,Write for Windows Document,3.0,0
INCOMPLETE,x-fmt/120,Microsoft Works for Windows,4.0,0
INCOMPLETE,x-fmt/121,Quattro Pro Spreadsheet,[?],0
INCOMPLETE,x-fmt/122,Quattro Pro Spreadsheet,5,0
INCOMPLETE,x-fmt/123,Microsoft Excel Macro,4.0,0
INCOMPLETE,x-fmt/124,Microsoft Excel Add-In,[?],0
INCOMPLETE,x-fmt/125,Microsoft Excel Toolbar,[?],0
INCOMPLETE,x-fmt/126,Microsoft Excel Chart,4.0,0
INCOMPLETE,x-fmt/127,AutoCAD Xref Log,[?],0
INCOMPLETE,x-fmt/128,Microsoft Excel Workspace,[?],0
INCOMPLETE,x-fmt/129,Microsoft Word for Macintosh Document,X,0
INCOMPLETE,x-fmt/13,Tab-separated values,[?],0
INCOMPLETE,x-fmt/130,MS-DOS Text File with line breaks,[?],0
INCOMPLETE,x-fmt/131,Stationary  for Mac OS X,[?],0
INCOMPLETE,x-fmt/132,Speller Custom Dictionary,[?],0
INCOMPLETE,x-fmt/133,Speller Exclude Dictionary,[?],0
INCOMPLETE,x-fmt/134,AutoCAD Device-Independent Binary Plotter File,[?],0
STUB,x-fmt/135,Audio Interchange File Format,[?],5
STUB,x-fmt/136,Audio Interchange File Format (compressed),[?],5
INCOMPLETE,x-fmt/137,Electronic Arts Music,[?],0
INCOMPLETE,x-fmt/138,Active Server Page,[?],0
INCOMPLETE,x-fmt/139,Unix Sound File,[?],0
INCOMPLETE,x-fmt/14,Macintosh Text File,[?],0
INCOMPLETE,x-fmt/140,SGI Monochrome Image,[?],0
INCOMPLETE,x-fmt/141,Calendar Creator Plus Data File,[?],0
STUB,x-fmt/142,Computer Graphics Metafile ASCII,1,5
INCOMPLETE,x-fmt/143,OS/2 Change Control File,[?],0
INCOMPLETE,x-fmt/144,Corel Photo-Paint Image,[?],0
INCOMPLETE,x-fmt/145,Stats+ Data File,[?],0
INCOMPLETE,x-fmt/146,Scitex CT Bitmap,[?],0
INCOMPLETE,x-fmt/147,Paradox Database Table,7,0
INCOMPLETE,x-fmt/148,IBM DisplayWrite DCA Text File,[?],0
INCOMPLETE,x-fmt/149,Desktop Color Separation File,[?],0
INCOMPLETE,x-fmt/15,MS-DOS Text File,[?],0
INCOMPLETE,x-fmt/150,Visual FoxPro Database Container File,[?],0
INCOMPLETE,x-fmt/151,Micrografx Designer,7.0,0
INCOMPLETE,x-fmt/152,Digital Video,[?],0
INCOMPLETE,x-fmt/153,Windows Enhanced Metafile,[?],0
STUB,x-fmt/154,AutoDesk FLIC Animation,[?],5
INCOMPLETE,x-fmt/155,AutoCAD Film Roll,[?],0
INCOMPLETE,x-fmt/156,Ventura Publisher,[?],0
INCOMPLETE,x-fmt/157,Interchange File,[?],0
INCOMPLETE,x-fmt/158,Initial Graphics Exchange Specification,[?],0
STUB,x-fmt/159,GEM Image,[?],5
INCOMPLETE,x-fmt/16,Unicode Text File,[?],0
INCOMPLETE,x-fmt/160,Java Servlet Page,[?],0
INCOMPLETE,x-fmt/161,MacPaint Image,[?],0
STUB,x-fmt/162,Adobe FrameMaker Interchange Format,[?],5
INCOMPLETE,x-fmt/163,NAP Metafile,[?],0
INCOMPLETE,x-fmt/164,Portable Bitmap Graphic,[?],0
INCOMPLETE,x-fmt/165,Kodak PhotoCD Image,1.0,0
INCOMPLETE,x-fmt/166,PICS Animation,[?],0
INCOMPLETE,x-fmt/167,Adobe PhotoDeluxe,[?],0
INCOMPLETE,x-fmt/168,Broderbund Print Shop Deluxe,[?],0
INCOMPLETE,x-fmt/169,PHP Script Page,[?],0
INCOMPLETE,x-fmt/17,Microsoft Excel Template,2000,0
INCOMPLETE,x-fmt/170,PC Paint Bitmap,[?],0
INCOMPLETE,x-fmt/171,Inset Systems Bitmap,[?],0
INCOMPLETE,x-fmt/172,Microsoft FoxPro Library,[?],0
INCOMPLETE,x-fmt/173,PageMaker Document,5.0,0
INCOMPLETE,x-fmt/174,PageMaker Document,6.0,0
INCOMPLETE,x-fmt/175,MacPaint Graphics,[?],0
INCOMPLETE,x-fmt/176,Picture Publisher Bitmap,4,0
INCOMPLETE,x-fmt/177,Microsoft PowerPoint Graphics File,[?],0
INCOMPLETE,x-fmt/178,Portable Pixelmap Bitmap,[?],0
INCOMPLETE,x-fmt/179,Microsoft Visual Modeller Petal file (ASCII),[?],0
INCOMPLETE,x-fmt/18,Comma Separated Values,[?],0
INCOMPLETE,x-fmt/180,Instalit Script,[?],0
INCOMPLETE,x-fmt/181,PageMaker Document,6.5,0
INCOMPLETE,x-fmt/182,Quark Xpress Data File,[?],0
STUB,x-fmt/183,RealAudio Metafile,[?],5
INCOMPLETE,x-fmt/184,Sun Raster Image,[?],0
INCOMPLETE,x-fmt/185,Raw Bitmap,[?],0
INCOMPLETE,x-fmt/186,Silicon Graphics RGB File,[?],0
INCOMPLETE,x-fmt/187,Fractal Design Painter RIFF Bitmap Graphics,[?],0
INCOMPLETE,x-fmt/188,SDSC Image Tool Wavefront Raster Image,[?],0
INCOMPLETE,x-fmt/189,SDSC Image Tool Run-Length Encoded Bitmap,[?],0
STUB,x-fmt/19,3D Studio,[?],5
INCOMPLETE,x-fmt/190,RealAudio Video,[?],0
STUB,x-fmt/191,AMI Professional Document,[?],5
INCOMPLETE,x-fmt/192,SAS for MS-DOS Catalog,[?],0
INCOMPLETE,x-fmt/193,Unisys (Sperry) System Data File,[?],0
INCOMPLETE,x-fmt/194,IRIS Graphics,[?],0
INCOMPLETE,x-fmt/195,Standard Generalized Markup Language,[?],0
INCOMPLETE,x-fmt/196,NeXt Sound,[?],0
INCOMPLETE,x-fmt/197,DataFlex Query Tag Name,[?],0
INCOMPLETE,x-fmt/198,Pagemaker TableEditor Graphics,[?],0
INCOMPLETE,x-fmt/199,Turbo Debugger Keystroke Recording File,[?],0
